,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
5198,António Filipe,32,https://cdn.sofifa.org/48/18/players/194916.png,Portugal,https://cdn.sofifa.org/flags/38.png,70,70,Grupo Desportivo de Chaves,https://cdn.sofifa.org/24/18/teams/518.png,€1M,€5K,1045,36,29,42,31,13,35,13,14,11,11,14,70,70,62,68,72,15,18,68,16,14,11,12,11,60,15,20,11,31,33,13,59,68,14,,,,,,194916,,,,,,,,,,,GK ,,,,,,,,,,,
5199,Ruíz de Galarreta,23,https://cdn.sofifa.org/48/18/players/205157.png,Spain,https://cdn.sofifa.org/flags/45.png,70,77,FC Barcelona B,https://cdn.sofifa.org/24/18/teams/110704.png,€2.1M,€5K,1776,63,70,74,78,72,59,53,49,65,52,45,12,6,13,7,12,51,62,42,73,59,62,47,55,65,80,58,68,65,58,71,57,72,60,68.0,64.0,69.0,64.0,69.0,205157,68.0,65.0,64.0,69.0,69.0,64.0,65.0,60.0,64.0,65.0,CAM CM CDM ,68.0,65.0,64.0,69.0,69.0,64.0,65.0,60.0,64.0,65.0,60.0
5200,Luís Martins,25,https://cdn.sofifa.org/48/18/players/205669.png,Portugal,https://cdn.sofifa.org/flags/38.png,70,74,CS Marítimo,https://cdn.sofifa.org/24/18/teams/1893.png,€1.9M,€7K,1893,71,64,71,74,70,61,74,72,66,51,74,8,13,12,9,8,49,65,59,72,67,67,46,58,68,73,80,72,70,65,73,59,54,59,65.0,66.0,68.0,65.0,67.0,205669,65.0,69.0,66.0,67.0,68.0,65.0,67.0,63.0,66.0,70.0,LB ,65.0,69.0,66.0,67.0,68.0,65.0,67.0,63.0,66.0,70.0,63.0
5201,Guillermo,24,https://cdn.sofifa.org/48/18/players/205158.png,Spain,https://cdn.sofifa.org/flags/45.png,70,76,CD Numancia,https://cdn.sofifa.org/24/18/teams/477.png,€2.5M,€7K,1722,74,56,72,66,76,60,58,65,72,68,56,9,10,7,7,9,64,20,71,51,59,20,62,75,71,66,59,27,74,82,29,67,58,62,68.0,44.0,49.0,70.0,62.0,205158,68.0,50.0,44.0,62.0,49.0,70.0,69.0,69.0,69.0,53.0,RM ST ,68.0,50.0,44.0,62.0,49.0,70.0,69.0,69.0,69.0,53.0,69.0
5202,C. Kouakou,26,https://cdn.sofifa.org/48/18/players/210534.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,70,71,SM Caen,https://cdn.sofifa.org/24/18/teams/210.png,€2.1M,€18K,1746,84,46,85,63,70,63,68,45,71,72,45,8,13,13,14,11,59,41,84,55,65,23,65,66,62,68,63,20,90,71,19,75,51,61,67.0,44.0,49.0,68.0,60.0,210534,67.0,51.0,44.0,60.0,49.0,68.0,69.0,69.0,70.0,54.0,LM ST ,67.0,51.0,44.0,60.0,49.0,68.0,69.0,69.0,70.0,54.0,69.0
5203,M. Casierra,31,https://cdn.sofifa.org/48/18/players/214118.png,Colombia,https://cdn.sofifa.org/flags/56.png,70,70,San Martín de San Juan,https://cdn.sofifa.org/24/18/teams/111713.png,€1.2M,€8K,1716,78,68,77,76,57,62,73,27,52,28,29,8,12,7,8,7,73,68,85,54,57,72,36,50,76,56,62,60,81,79,64,72,36,28,54.0,68.0,63.0,55.0,56.0,214118,54.0,69.0,68.0,56.0,63.0,55.0,59.0,56.0,58.0,68.0,LB ,54.0,69.0,68.0,56.0,63.0,55.0,59.0,56.0,58.0,68.0,56.0
5204,I. Coronado,24,https://cdn.sofifa.org/48/18/players/202599.png,Brazil,https://cdn.sofifa.org/flags/54.png,70,75,Palermo,https://cdn.sofifa.org/24/18/teams/1843.png,€2.4M,€4K,1800,75,25,90,83,75,76,67,58,82,74,48,12,7,12,10,7,52,35,72,76,73,13,78,67,64,71,68,17,76,71,39,56,78,69,75.0,41.0,52.0,73.0,70.0,202599,75.0,50.0,41.0,70.0,52.0,73.0,73.0,69.0,74.0,54.0,CF CAM ST ,75.0,50.0,41.0,70.0,52.0,73.0,73.0,69.0,74.0,54.0,69.0
5205,L. Diarte,24,https://cdn.sofifa.org/48/18/players/223335.png,Argentina,https://cdn.sofifa.org/flags/52.png,70,76,Estudiantes de La Plata,https://cdn.sofifa.org/24/18/teams/101083.png,€2M,€10K,1595,60,54,63,67,65,64,53,31,57,26,33,7,14,7,14,15,56,61,90,35,23,73,43,45,74,62,40,82,67,76,76,65,33,28,52.0,69.0,63.0,52.0,54.0,223335,52.0,69.0,69.0,54.0,63.0,52.0,56.0,50.0,53.0,68.0,LB ,52.0,69.0,69.0,54.0,63.0,52.0,56.0,50.0,53.0,68.0,50.0
5206,Fran Villalba,19,https://cdn.sofifa.org/48/18/players/229991.png,Spain,https://cdn.sofifa.org/flags/45.png,70,80,Valencia CF,https://cdn.sofifa.org/24/18/teams/461.png,€2.8M,€11K,1648,66,38,75,89,71,59,66,74,77,60,73,9,10,14,5,14,33,36,46,68,66,28,57,61,62,71,44,31,64,52,34,31,72,51,69.0,39.0,51.0,66.0,65.0,229991,69.0,49.0,39.0,65.0,51.0,66.0,68.0,58.0,68.0,53.0,CM CAM ,69.0,49.0,39.0,65.0,51.0,66.0,68.0,58.0,68.0,53.0,58.0
5207,I. Konuk,29,https://cdn.sofifa.org/48/18/players/178023.png,Turkey,https://cdn.sofifa.org/flags/48.png,70,70,Bursaspor,https://cdn.sofifa.org/24/18/teams/742.png,€1.4M,€13K,1588,51,78,60,65,59,50,39,33,55,30,41,6,10,16,10,14,72,73,71,64,43,69,32,28,65,69,47,70,46,74,67,70,46,15,53.0,69.0,67.0,50.0,59.0,178023,53.0,64.0,69.0,59.0,67.0,50.0,52.0,49.0,49.0,63.0,CB ,53.0,64.0,69.0,59.0,67.0,50.0,52.0,49.0,49.0,63.0,49.0
5208,A. Bouka Moutou,28,https://cdn.sofifa.org/48/18/players/184935.png,Congo,https://cdn.sofifa.org/flags/107.png,70,70,Dijon FCO,https://cdn.sofifa.org/24/18/teams/110569.png,€1.4M,€13K,1689,74,72,68,84,72,69,69,45,67,18,53,16,6,16,9,13,52,68,65,58,22,73,51,58,67,69,16,73,69,70,68,62,49,17,59.0,67.0,67.0,56.0,61.0,184935,59.0,69.0,67.0,61.0,67.0,56.0,63.0,49.0,60.0,70.0,LB ,59.0,69.0,67.0,61.0,67.0,56.0,63.0,49.0,60.0,70.0,49.0
5209,P. Yakovlev,26,https://cdn.sofifa.org/48/18/players/193895.png,Russia,https://cdn.sofifa.org/flags/40.png,70,70,FC Anzhi Makhachkala,https://cdn.sofifa.org/24/18/teams/100766.png,€1.9M,€16K,1846,73,62,72,75,73,68,68,64,71,65,59,13,6,6,15,11,63,26,70,67,73,46,66,71,63,64,73,49,71,73,47,63,62,66,68.0,52.0,56.0,69.0,64.0,193895,68.0,57.0,52.0,64.0,56.0,69.0,69.0,68.0,69.0,58.0,CAM RM LM ,68.0,57.0,52.0,64.0,56.0,69.0,69.0,68.0,69.0,58.0,68.0
5210,M. Bauer,25,https://cdn.sofifa.org/48/18/players/204904.png,Austria,https://cdn.sofifa.org/flags/4.png,70,74,Rubin Kazan,https://cdn.sofifa.org/24/18/teams/110227.png,€1.9M,€25K,1802,77,60,65,68,68,65,72,60,68,34,47,14,13,10,7,9,59,65,72,63,57,66,52,65,65,65,61,68,84,69,67,62,58,32,63.0,65.0,65.0,63.0,64.0,204904,63.0,69.0,65.0,64.0,65.0,63.0,66.0,59.0,65.0,69.0,RWB LB RB ,63.0,69.0,65.0,64.0,65.0,63.0,66.0,59.0,65.0,69.0,59.0
5211,A. Ngamukol,29,https://cdn.sofifa.org/48/18/players/210536.png,Equatorial Guinea,https://cdn.sofifa.org/flags/112.png,70,70,Stade de Reims,https://cdn.sofifa.org/24/18/teams/379.png,€1.8M,€9K,1684,92,32,83,80,66,62,63,47,68,73,40,14,7,6,13,10,64,35,73,39,56,24,66,70,66,57,66,23,92,71,26,62,48,52,64.0,42.0,45.0,67.0,55.0,210536,64.0,51.0,42.0,55.0,45.0,67.0,67.0,69.0,69.0,53.0,LM ST ,64.0,51.0,42.0,55.0,45.0,67.0,67.0,69.0,69.0,53.0,69.0
5212,N. Viola,27,https://cdn.sofifa.org/48/18/players/173160.png,Italy,https://cdn.sofifa.org/flags/27.png,70,71,Benevento Calcio,https://cdn.sofifa.org/24/18/teams/112026.png,€2M,€20K,1871,71,66,69,62,70,64,68,70,66,55,69,14,6,9,11,11,62,63,64,75,69,49,61,49,69,73,67,56,67,71,58,70,73,58,67.0,61.0,66.0,65.0,69.0,173160,67.0,64.0,61.0,69.0,66.0,65.0,67.0,63.0,66.0,65.0,CDM CM ,67.0,64.0,61.0,69.0,66.0,65.0,67.0,63.0,66.0,65.0,63.0
5213,N. Thomsen,24,https://cdn.sofifa.org/48/18/players/205929.png,Denmark,https://cdn.sofifa.org/flags/13.png,70,74,FC København,https://cdn.sofifa.org/24/18/teams/819.png,€2.3M,€13K,1712,68,46,72,68,72,66,70,63,70,60,56,6,8,12,7,11,52,53,67,73,63,31,45,66,61,75,60,33,58,77,39,58,73,39,69.0,48.0,58.0,67.0,68.0,205929,69.0,55.0,48.0,68.0,58.0,67.0,69.0,63.0,68.0,59.0,RB RM LM ,69.0,55.0,48.0,68.0,58.0,67.0,69.0,63.0,68.0,59.0,63.0
5214,Felipe,26,https://cdn.sofifa.org/48/18/players/207465.png,Brazil,https://cdn.sofifa.org/flags/54.png,70,73,New York Red Bulls,https://cdn.sofifa.org/24/18/teams/689.png,€2.2M,€7K,1908,71,74,74,71,70,67,68,75,69,58,68,8,9,9,14,12,33,67,51,69,70,63,65,66,69,70,73,59,65,80,66,59,69,64,68.0,62.0,68.0,67.0,69.0,207465,68.0,66.0,62.0,69.0,68.0,67.0,69.0,63.0,68.0,68.0,CDM CM ,68.0,66.0,62.0,69.0,68.0,67.0,69.0,63.0,68.0,68.0,63.0
5215,M. Fallatah,29,https://cdn.sofifa.org/48/18/players/209001.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,70,70,Al Hilal,https://cdn.sofifa.org/24/18/teams/605.png,€1.8M,€29K,1671,77,41,79,72,60,69,55,36,57,76,26,10,7,12,16,9,73,26,90,48,56,27,71,73,71,54,65,20,82,83,22,62,55,60,62.0,42.0,45.0,65.0,56.0,209001,62.0,48.0,42.0,56.0,45.0,65.0,64.0,69.0,65.0,50.0,ST ,62.0,48.0,42.0,56.0,45.0,65.0,64.0,69.0,65.0,50.0,69.0
5216,C. Akolo,22,https://cdn.sofifa.org/48/18/players/222825.png,DR Congo,https://cdn.sofifa.org/flags/110.png,70,82,VfB Stuttgart,https://cdn.sofifa.org/24/18/teams/36.png,€3.2M,€17K,1681,79,57,78,77,75,64,62,71,76,74,41,11,14,7,10,7,37,23,50,61,54,26,50,59,72,62,73,26,84,62,27,67,49,60,67.0,41.0,49.0,68.0,60.0,222825,67.0,49.0,41.0,60.0,49.0,68.0,69.0,67.0,70.0,52.0,ST CAM LM RW ,67.0,49.0,41.0,60.0,49.0,68.0,69.0,67.0,70.0,52.0,67.0
5217,T. Perthel,28,https://cdn.sofifa.org/48/18/players/192617.png,Germany,https://cdn.sofifa.org/flags/21.png,70,70,VfL Bochum,https://cdn.sofifa.org/24/18/teams/160.png,€1.4M,€13K,1953,84,77,78,69,65,67,74,70,67,48,70,11,8,6,12,7,53,63,77,59,70,67,51,66,62,66,78,68,77,84,70,76,60,60,65.0,67.0,67.0,65.0,65.0,192617,65.0,69.0,67.0,65.0,67.0,65.0,68.0,64.0,67.0,70.0,LB ,65.0,69.0,67.0,65.0,67.0,65.0,68.0,64.0,67.0,70.0,64.0
5218,J. Rivierez,28,https://cdn.sofifa.org/48/18/players/200298.png,France,https://cdn.sofifa.org/flags/18.png,70,70,FC Metz,https://cdn.sofifa.org/24/18/teams/68.png,€1.4M,€11K,1649,71,79,57,64,61,58,63,43,48,17,36,16,15,13,8,15,70,68,74,53,25,70,35,31,62,64,46,73,67,83,73,79,47,23,50.0,71.0,67.0,48.0,56.0,200298,50.0,69.0,71.0,56.0,67.0,48.0,55.0,48.0,51.0,68.0,CB RB ,50.0,69.0,71.0,56.0,67.0,48.0,55.0,48.0,51.0,68.0,48.0
5219,E. Gyasi,26,https://cdn.sofifa.org/48/18/players/204394.png,Ghana,https://cdn.sofifa.org/flags/117.png,70,71,Aalesunds FK,https://cdn.sofifa.org/24/18/teams/1755.png,€2.1M,€4K,1823,90,65,87,71,68,65,64,58,69,66,52+10,15,6,10,11,11,51,30,72,58,70,45,48,61,64,64,70,45,94,74,52,67,63,52,68.0,53.0,56.0,68.0,62.0,204394,68.0,58.0,53.0,62.0,56.0,68.0,69.0,67.0,70.0,60.0,RW RM ,68.0,58.0,53.0,62.0,56.0,68.0,69.0,67.0,70.0,60.0,67.0
5220,Fran Carbia,25,https://cdn.sofifa.org/48/18/players/205674.png,Spain,https://cdn.sofifa.org/flags/45.png,70,75,CF Reus Deportiu,https://cdn.sofifa.org/24/18/teams/110854.png,€2.4M,€6K,1750,81,54,81,76,70,61,67,68,73,69,57,15,13,9,9,12,62,51,65,61,63,16,60,70,74,66,57,23,80,57,20,56,64,51,69.0,44.0,51.0,70.0,63.0,205674,69.0,51.0,44.0,63.0,51.0,70.0,70.0,68.0,71.0,54.0,LM ST RM CAM ,69.0,51.0,44.0,63.0,51.0,70.0,70.0,68.0,71.0,54.0,68.0
5221,A. Šporar,23,https://cdn.sofifa.org/48/18/players/231786.png,Slovenia,https://cdn.sofifa.org/flags/44.png,70,77,DSC Arminia Bielefeld,https://cdn.sofifa.org/24/18/teams/159.png,€2.5M,€24K,1695,78,35,76,66,75,67,72,59,74,69,51,9,12,7,8,7,65,11,72,56,59,16,70,70,54,69,69,18,76,72,11,67,70,72,69.0,36.0,43.0,70.0,61.0,231786,69.0,45.0,36.0,61.0,43.0,70.0,70.0,69.0,71.0,49.0,CF RW ST ,69.0,45.0,36.0,61.0,43.0,70.0,70.0,69.0,71.0,49.0,69.0
5222,E. Huws,23,https://cdn.sofifa.org/48/18/players/205163.png,Wales,https://cdn.sofifa.org/flags/50.png,70,78,Ipswich Town,https://cdn.sofifa.org/24/18/teams/94.png,€2.6M,€13K,1824,70,63,66,58,69,71,64,60,65,66,56,13,6,6,9,6,49,64,66,71,65,51,66,60,67,72,67,56,67,77,64,64,69,52,68.0,61.0,66.0,66.0,69.0,205163,68.0,64.0,61.0,69.0,66.0,66.0,68.0,64.0,67.0,65.0,CDM CM ,68.0,64.0,61.0,69.0,66.0,66.0,68.0,64.0,67.0,65.0,64.0
5223,J. Silva,28,https://cdn.sofifa.org/48/18/players/209003.png,Paraguay,https://cdn.sofifa.org/flags/58.png,70,70,Deportes Tolima,https://cdn.sofifa.org/24/18/teams/111722.png,€1.2M,€1K,1143,46,41,46,40,20,55,19,15,17,14,22,74,68,76,67,68,14,20,59,21,19,16,24,12,68,32,22,12,43,41,13,48,32,14,,,,,,209003,,,,,,,,,,,GK ,,,,,,,,,,,
5224,L. Giannetti,23,https://cdn.sofifa.org/48/18/players/215147.png,Argentina,https://cdn.sofifa.org/flags/52.png,70,79,Vélez Sarsfield,https://cdn.sofifa.org/24/18/teams/101088.png,€2.4M,€9K,1579,68,70,57,60,42,43,35,37,44,32,59,13,13,13,8,15,71,63,85,42,33,72,50,26,62,44,52,81,63,65,75,74,23,32,41.0,69.0,59.0,43.0,44.0,215147,41.0,63.0,69.0,44.0,59.0,43.0,44.0,47.0,43.0,59.0,CB ,41.0,63.0,69.0,44.0,59.0,43.0,44.0,47.0,43.0,59.0,47.0
5225,U. Matić,27,https://cdn.sofifa.org/48/18/players/219755.png,Serbia,https://cdn.sofifa.org/flags/51.png,70,71,FC København,https://cdn.sofifa.org/24/18/teams/819.png,€2M,€15K,1901,69,71,70,69,70,67,58,54,69,63,60,14,14,15,8,6,62,60,75,70,65,60,51,69,70,71,70,58,65,90,61,74,65,55,68.0,64.0,67.0,68.0,69.0,219755,68.0,65.0,64.0,69.0,67.0,68.0,69.0,67.0,67.0,66.0,CDM CM ,68.0,65.0,64.0,69.0,67.0,68.0,69.0,67.0,67.0,66.0,67.0
5226,J. Muñoz,28,https://cdn.sofifa.org/48/18/players/227179.png,Colombia,https://cdn.sofifa.org/flags/56.png,70,71,CD Once Caldas Manizales,https://cdn.sofifa.org/24/18/teams/101106.png,€1.6M,€2K,1530,62,72,45,67,54,58,50,23,49,40,29,14,16,8,12,13,66,72,73,60,21,74,38,29,56,57,31,68,52,53,74,74,46,32,48.0,69.0,64.0,46.0,53.0,227179,48.0,63.0,69.0,53.0,64.0,46.0,51.0,47.0,48.0,61.0,CB ,48.0,63.0,69.0,53.0,64.0,46.0,51.0,47.0,48.0,61.0,47.0
5227,W. Bakhashwain,27,https://cdn.sofifa.org/48/18/players/210028.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,70,72,Al Ahli,https://cdn.sofifa.org/24/18/teams/112387.png,€1.7M,€24K,1790,71,78,76,66,69,73,43,45,71,31,47,15,9,11,12,8,69,71,72,63,55,67,34,54,69,68,71,68,73,77,66,80,55,26,63.0,70.0,69.0,62.0,65.0,210028,63.0,67.0,70.0,65.0,69.0,62.0,63.0,60.0,61.0,67.0,CB CM CDM ,63.0,67.0,70.0,65.0,69.0,62.0,63.0,60.0,61.0,67.0,60.0
5228,R. Ramírez,27,https://cdn.sofifa.org/48/18/players/212332.png,Paraguay,https://cdn.sofifa.org/flags/58.png,70,71,Deportivo Pasto,https://cdn.sofifa.org/24/18/teams/111723.png,€2.1M,€2K,1800,77,63,71,76,70,65,55,61,71,72,63,13,14,15,16,11,62,20,71,52,65,27,64,69,70,66,70,33,75,69,37,65,65,72,68.0,46.0,50.0,70.0,62.0,212332,68.0,50.0,46.0,62.0,50.0,70.0,68.0,69.0,69.0,53.0,ST ,68.0,50.0,46.0,62.0,50.0,70.0,68.0,69.0,69.0,53.0,69.0
5229,Carlos López,27,https://cdn.sofifa.org/48/18/players/239212.png,Spain,https://cdn.sofifa.org/flags/45.png,70,71,Wisła Kraków,https://cdn.sofifa.org/24/18/teams/1873.png,€2.1M,€7K,1788,89,75,72,85,72,68,58,72,71,72,66,5,12,13,9,10,57,37,69,59,70,13,58,65,75,69,71,19,80,71,13,57,68,56,71.0,41.0,50.0,71.0,64.0,239212,71.0,49.0,41.0,64.0,50.0,71.0,70.0,69.0,71.0,52.0,CAM ST ,71.0,49.0,41.0,64.0,50.0,71.0,70.0,69.0,71.0,52.0,69.0
5230,J. Hunt,26,https://cdn.sofifa.org/48/18/players/193900.png,England,https://cdn.sofifa.org/flags/14.png,70,73,Sheffield Wednesday,https://cdn.sofifa.org/24/18/teams/1807.png,€1.8M,€33K,1815,86,60,72,68,67,67,64,61,71,47,29,15,15,6,14,8,62,65,82,59,50,66,48,65,66,63,59,69,84,74,70,64,54,32,64.0,67.0,65.0,64.0,63.0,193900,64.0,69.0,67.0,63.0,65.0,64.0,67.0,62.0,66.0,69.0,RB ,64.0,69.0,67.0,63.0,65.0,64.0,67.0,62.0,66.0,69.0,62.0
5231,M. Yumlu,29,https://cdn.sofifa.org/48/18/players/199789.png,Turkey,https://cdn.sofifa.org/flags/48.png,70,70,Akhisar Belediyespor,https://cdn.sofifa.org/24/18/teams/111340.png,€1.4M,€13K,1473,48,79,46,40,51,63,22,22,43,32,24,6,13,15,10,7,76,69,68,59,30,66,44,26,62,62,56,67,37,69,69,86,37,32,46.0,69.0,64.0,44.0,53.0,199789,46.0,59.0,69.0,53.0,64.0,44.0,45.0,48.0,42.0,56.0,CB ,46.0,59.0,69.0,53.0,64.0,44.0,45.0,48.0,42.0,56.0,48.0
5232,S. Gustafson,22,https://cdn.sofifa.org/48/18/players/213613.png,Sweden,https://cdn.sofifa.org/flags/46.png,70,75,Roda JC Kerkrade,https://cdn.sofifa.org/24/18/teams/1902.png,€2.4M,€10K,1826,72,70,72,61,72,73,65,71,69,71,65,7,7,7,11,13,37,36,60,66,68,45,66,67,65,69,71,52,68,67,52,69,65,70,69.0,53.0,59.0,68.0,65.0,213613,69.0,57.0,53.0,65.0,59.0,68.0,68.0,66.0,69.0,59.0,ST CAM ,69.0,57.0,53.0,65.0,59.0,68.0,68.0,66.0,69.0,59.0,66.0
5233,C. Lederos,25,https://cdn.sofifa.org/48/18/players/160109.png,Chile,https://cdn.sofifa.org/flags/55.png,70,70,Deportes Iquique,https://cdn.sofifa.org/24/18/teams/112531.png,€1.9M,€3K,1735,51,63,63,64,71,71,68,65,73,59,73,11,10,10,12,14,48,48,49,66,65,37,71,68,68,72,54,44,55,47,47,46,76,67,69.0,50.0,57.0,66.0,67.0,160109,69.0,54.0,50.0,67.0,57.0,66.0,66.0,61.0,67.0,56.0,CAM ,69.0,54.0,50.0,67.0,57.0,66.0,66.0,61.0,67.0,56.0,61.0
5234,A. Paschalakis,27,https://cdn.sofifa.org/48/18/players/240493.png,Greece,https://cdn.sofifa.org/flags/22.png,70,72,PAOK Thessaloniki,https://cdn.sofifa.org/24/18/teams/393.png,€1.4M,€1K,1115,53,41,44,59,11,50,12,16,18,12,12,72,68,55,68,72,17,15,30,25,12,10,30,4,72,22,18,14,47,34,15,70,55,12,,,,,,240493,,,,,,,,,,,GK ,,,,,,,,,,,
5235,D. Nounkeu,31,https://cdn.sofifa.org/48/18/players/192621.png,Cameroon,https://cdn.sofifa.org/flags/103.png,70,70,Kardemir Karabükspor,https://cdn.sofifa.org/24/18/teams/112122.png,€1.2M,€10K,1651,77,75,67,54,65,48,51,54,59,24,24,7,11,10,9,12,73,67,81,60,37,64,34,31,62,59,48,63,79,73,72,79,43,27,53.0,69.0,65.0,52.0,57.0,192621,53.0,66.0,69.0,57.0,65.0,52.0,57.0,52.0,54.0,65.0,CB ,53.0,66.0,69.0,57.0,65.0,52.0,57.0,52.0,54.0,65.0,52.0
5236,L. Moult,25,https://cdn.sofifa.org/48/18/players/194925.png,England,https://cdn.sofifa.org/flags/14.png,70,70,Motherwell,https://cdn.sofifa.org/24/18/teams/83.png,€2M,€7K,1699,75,66,67,64,66,64,30,30,61,71,66,7,14,10,16,13,74,24,81,38,52,35,70,72,57,63,68,28,77,67,36,79,50,72,62.0,49.0,48.0,65.0,55.0,194925,62.0,47.0,49.0,55.0,48.0,65.0,60.0,69.0,62.0,48.0,ST ,62.0,47.0,49.0,55.0,48.0,65.0,60.0,69.0,62.0,48.0,69.0
5237,N. Murru,22,https://cdn.sofifa.org/48/18/players/205934.png,Italy,https://cdn.sofifa.org/flags/27.png,70,77,Sampdoria,https://cdn.sofifa.org/24/18/teams/1837.png,€2.1M,€18K,1690,76,64,73,72,63,68,70,54,61,23,39,5,5,5,5,5,63,62,74,56,40,72,47,40,58,60,57,73,79,80,75,68,27,39,52.0,68.0,64.0,52.0,55.0,205934,52.0,69.0,68.0,55.0,64.0,52.0,58.0,52.0,56.0,69.0,LB ,52.0,69.0,68.0,55.0,64.0,52.0,58.0,52.0,56.0,69.0,52.0
5238,P. Gallagher,32,https://cdn.sofifa.org/48/18/players/162926.png,Scotland,https://cdn.sofifa.org/flags/42.png,70,70,Preston North End,https://cdn.sofifa.org/24/18/teams/1801.png,€1.3M,€11K,1826,59,53,68,60,73,66,78,78,65,62,75,8,8,7,9,6,52,49,60,76,74,23,65,65,63,72,79,45,61,71,60,67,75,60,69.0,53.0,60.0,67.0,69.0,162926,69.0,58.0,53.0,69.0,60.0,67.0,69.0,65.0,68.0,60.0,CM ,69.0,58.0,53.0,69.0,60.0,67.0,69.0,65.0,68.0,60.0,65.0
5239,Vicemte Tófoli,33,https://cdn.sofifa.org/48/18/players/230510.png,Brazil,https://cdn.sofifa.org/flags/54.png,70,70,São Paulo Futebol Clube,https://cdn.sofifa.org/24/18/teams/598.png,€1.1M,€22K,1764,81,44,62,84,73,67,58,64,71,77,68,12,10,8,16,11,53,38,56,59,62,28,73,74,66,69,68,32,78,62,36,41,61,69,69.0,44.0,51.0,71.0,64.0,230510,69.0,52.0,44.0,64.0,51.0,71.0,69.0,69.0,70.0,55.0,ST ,69.0,52.0,44.0,64.0,51.0,71.0,69.0,69.0,70.0,55.0,69.0
5240,F. Zuculini,26,https://cdn.sofifa.org/48/18/players/190575.png,Argentina,https://cdn.sofifa.org/flags/52.png,70,70,Hellas Verona,https://cdn.sofifa.org/24/18/teams/206.png,€1.9M,€19K,1865,67,68,72,76,73,72,62,57,68,52,60,15,6,7,12,7,57,68,76,70,58,60,48,60,68,74,70,64,69,72,68,62,68,51,68.0,66.0,69.0,66.0,69.0,190575,68.0,67.0,66.0,69.0,69.0,66.0,67.0,63.0,66.0,68.0,CM ,68.0,67.0,66.0,69.0,69.0,66.0,67.0,63.0,66.0,68.0,63.0
5241,I. Canuto,31,https://cdn.sofifa.org/48/18/players/192367.png,Argentina,https://cdn.sofifa.org/flags/52.png,70,70,Club Atlético Lanús,https://cdn.sofifa.org/24/18/teams/110395.png,€1.2M,€8K,1677,54,69,69,72,62,60,42,49,55,38,45,15,10,12,13,13,72,66,74,47,50,70,51,23,64,57,65,69,56,62,67,81,48,37,52.0,69.0,63.0,51.0,54.0,192367,52.0,62.0,69.0,54.0,63.0,51.0,51.0,53.0,51.0,61.0,CB ,52.0,62.0,69.0,54.0,63.0,51.0,51.0,53.0,51.0,61.0,53.0
5242,Willyan,23,https://cdn.sofifa.org/48/18/players/210544.png,Brazil,https://cdn.sofifa.org/flags/54.png,70,75,Vitória Setúbal,https://cdn.sofifa.org/24/18/teams/665.png,€2.4M,€6K,1830,81,53,87,85,73,62,65,63,76,63,67,14,8,14,7,14,46,60,64,64,67,43,68,56,65,65,65,41,77,68,55,33,61,62,68.0,52.0,59.0,67.0,65.0,210544,68.0,60.0,52.0,65.0,59.0,67.0,69.0,63.0,69.0,62.0,ST CAM CM LM ,68.0,60.0,52.0,65.0,59.0,67.0,69.0,63.0,69.0,62.0,63.0
5243,M. Doumbia,22,https://cdn.sofifa.org/48/18/players/224368.png,Mali,https://cdn.sofifa.org/flags/126.png,70,78,FC Rostov,https://cdn.sofifa.org/24/18/teams/110231.png,€2.7M,€22K,1779,84,43,76,84,71,64,65,64,76,67,61,8,12,8,8,8,42,25,61,64,61,40,58,63,68,69,73,44,83,71,37,62,63,60,69.0,46.0,53.0,70.0,64.0,224368,69.0,55.0,46.0,64.0,53.0,70.0,71.0,67.0,71.0,58.0,LM ST RM CF ,69.0,55.0,46.0,64.0,53.0,70.0,71.0,67.0,71.0,58.0,67.0
5244,Iván Alejo,22,https://cdn.sofifa.org/48/18/players/231280.png,Spain,https://cdn.sofifa.org/flags/45.png,70,77,SD Eibar,https://cdn.sofifa.org/24/18/teams/467.png,€2.5M,€12K,1721,73,45,70,60,71,61,68,54,73,65,49,9,12,14,14,10,47,39,69,64,55,49,47,61,63,67,59,42,86,64,39,65,62,56,67.0,50.0,55.0,67.0,63.0,231280,67.0,56.0,50.0,63.0,55.0,67.0,69.0,64.0,68.0,59.0,RWB CAM RM LM ,67.0,56.0,50.0,63.0,55.0,67.0,69.0,64.0,68.0,59.0,64.0
