SOAAADD12AB018A9DD	TRNCENP12903C9EF3A
SOFJFAM12A8C13844F	TREAVEK128F427156E
SOFJFCN12A8C143103	TRDKNHA128F92F256B
SOFJFEU12A58A8077A	TRGCKQQ128F4280BAA
SOFJFGL12AB019032A	TRROXWU12903CDFFEE
SOFJFHO12AB0185C01	TRVHAWJ12903CAC504
SOFJFIB12A6D4F87EB	TRAMTXN128F1467EE9
SOFJFKV12A8C141DEB	TRXANPN128F92E51FC
SOFJFLE12A8C13677A	TRBOUBM128F424AC0A
SOFJFLR12AAA15D934	TRUENLR12903CCC8A0
SOFJFMC12A8C13DD69	TRIAFUR128F429C29E
SOFJFNN12AC3DF70B6	TRCQJQR12903CDA7DA
SOFJFNU12A8C1339FC	TRPSXWO128F4270207
SOFJFOK12AF72A4A8D	TREEBDV128F933CEA8
SOFJFOT12AF729E67E	TRRGHHU128F92FE05E
SOFJFPA12AF72A62D2	TRAVKNQ128F92FD9B5
SOFJFPM12A8C1459E2	TRYVIZM128F92D342A
SOFJFQC12AB0187A00	TRGESHN128F936599F
SOFJFSJ12A6D4F7636	TRPQBHF128F147F1BD
SOFJFTA12AB017D5BF	TRYTZUM128F93030F6
SOFJFTF12A8C138A37	TRJIMIK128F428F11A
SOFJFTN12A58A7990B	TRLVWHI128F933C630
SOFJFVR12AC468AD11	TRBSLIL12903D114A0
SOFJFWA12A8C14151B	TRTMFWK128F42BAA1C
SOFJFWR12AB01847A7	TRBWNLH128F934C8BE
SOFJFYD12A8C13C17F	TRZWIPB128F427E83B
SOFJFYZ12A6D4FBEAD	TRVCZBO128F422954D
SOFJGAD12A8C136ED5	TRYHQCI128F4269DED
SOFJGAF12A6D4F66F9	TRZVOPN128F1466589
SOFJGAL12A6D4FC31E	TRWOPYQ128F932A7BE
SOFJGAR12A6D4F8228	TRIYHDA128F146BDCA
SOFJGBC12A8C134573	TRJJBKO128F426DE6B
SOFJGBN12A67ADCEAC	TRUUGOE128E0795AFD
SOFJGEA12A6D4F9730	TRSPFKH128F147F7F4
SOFJGFG12A6D4F813A	TRWBJKM128F146A5CA
SOFJGGO12AC4687924	TRMUTNO12903D04F52
SOFJGGS12A58A7DC51	TRLRTVZ128F1458109
SOFJGKG12AB018F715	TRZBGKA12903CDBF17
SOFJGLG12AB018B2C6	TRQYNQU12903CB73DA
SOFJGMQ12A8AE48A36	TRUFVQE128F42327AC
SOFJGOD12A81C211B7	TRUPXKQ12903CEB057
SOFJGOU12AB017DB96	TRAHEKJ128F92DFBE4
SOFJGRJ12AB0183DD1	TREQKTA128F933D938
SOFJGUD12AB0181E8E	TRHQKWZ128F9303284
SOFJGUO12AC907258E	TRFVGHW12903CFB6B7
SOFJGWQ12A6D4F4CA7	TRZKCQN128F146A7E2
SOFJGWT12A58A79694	TRSTFGY128F9316345
SOFJGXO12AB0185AD5	TRTKDJX128F9336B79
SOFJGYI12A813568B8	TRTCPTT128F42792AA
SOFJGYK12AB0187241	TRITHKP12903CAF36E
SOFJGYY12A6D4F8A9A	TRSJULX128F147B4D1
SOFJHAF12A58A78DBD	TRBMQMU128F1467F74
SOFJHBK12A8C13E98C	TRUSRKS128F4283950
SOFJHDN12A8C143B11	TRXITNM128F92CE497
SOFJHKU12AAF3B3166	TREVLJX128F92F5B14
SOFJHLT12A58A78942	TRKSTWZ128F427AFF2
SOFJHOY12AB0181F10	TRNIUIP128F9314B5A
SOFJHPV12A8AE4826D	TRFMKZG128F4230422
SOFJHRN12AB017CF8B	TRALDEO128F93060EB
SOFJHSE12AB017E6A9	TRKUJFM128F93268C3
SOFJHSH12A58A79F9A	TRERTPY128F424B44E
SOFJHSS12A8C141BFE	TRPZVTE128F92C971B
SOFJHTA12AC3DF606B	TRCBWOC12903D03182
SOFJHUX12A6D4F79E0	TRREWEE128F145FFDA
SOFJHWT12AC3DF801C	TRWVOEI12903CEF3BE
SOFJHWV12AC392A86A	TRPTKPP12903CEB976
SOFJHYG12A58A7C2B5	TRWBIQL128F93422D4
SOFJHZT12A58A7B818	TRJQRYQ128F423EA49
SOFJIBH12AB017FE4B	TRBMWVA128F92FEA9E
SOFJIER12A8C13C453	TRAMALY128F428E4E9
SOFJIGA12A8C1377A2	TRSWUWC128F42623A9
SOFJIHM12A67ADE710	TRRCGQT128E079614B
SOFJIIK12AF72A0E82	TRSEWBR128F424D75E
SOFJIIY12A8AE48BE2	TRJBGZO128F423CB8B
SOFJIKE12AB017F6E7	TRZWRHO128F92EBD2A
SOFJILJ12A58A7C932	TRHGLWX128F146B597
SOFJIMY12AB018452E	TRJFRSY12903CA8B58
SOFJIOT12AB0180EA1	TRUATHP128F92F7323
SOFJIOU12AB01817D2	TRLNMYN128F92FF6E0
SOFJIPB12A8C1357D8	TRUFWFD128F428F331
SOFJIRQ12A8C13CDB7	TRXPMQK128F427CACF
SOFJISU12AF72A52BA	TRGNPQO128F428CCE4
SOFJITA12A6D4FC16F	TRVGXMD128F149D323
SOFJIVD12A58A79C1B	TRHNDIX128F427220B
SOFJIWM12A81C20387	TRKXGOI128F4226066
SOFJIXJ12A8AE4897E	TRCZMPL128F423A4D3
SOFJIXJ12A8C1383B6	TRVSKUH128F426E846
SOFJIZM12A58A7F878	TRPRPYA128F92C5792
SOFJJAV12AB018D6F2	TRRIELI12903CB66E3
SOFJJAZ12A6D4F825A	TRBIEDS128F14B144A
SOFJJCF12A67AE04AB	TRXKPYZ128EF345D46
SOFJJCP12A6D4F4D5B	TRQGDHD128F146B3C5
SOFJJEZ12A8C13451B	TRQTPDN128F4261E3D
SOFJJIM12A58A79F2E	TRUHIKB12903CEEBEF
SOFJJJK12AB017FEC2	TRXRIRC128F932061E
SOFJJJU12AB0187BD4	TRUSRCK12903CDD3FE
SOFJJKP12A8C1387A0	TRKAAMN128F4280AD4
SOFJJMH12AB017EC97	TRNARJN128F932AC23
SOFJJOB12AB0188085	TRJYNRT12903CDD64F
SOFJJPS12A8C141C4E	TRULFAV128F92F9ABE
SOFJJQC127E94376A2	TRYPJVB128F93210C9
SOFJJRI12A8C13630D	TRZXSGZ128F424DA20
SOFJJRN12A6D4F885D	TRWLGIJ128F1487104
SOFJJTM12AB01881DA	TRDAKQU12903D0CD22
SOFJJVL12A6D4F62BB	TRSMCNC128EF35A040
SOFJJWE12AC468E014	TRVVNGB12903D11699
SOFJJXH12A6D4F8104	TRBCGXN128F148C0CD
SOFJJXM12AB0183EB0	TRVLUUY128F93303C3
SOFJJYX12A8C13E821	TRDTDIT128F427ED15
SOFJJZD12A8C13C7E5	TRWMLLX128F427E8C9
SOFJJZV12AB017CE8B	TRBYEZE128F930BC58
SOFJKAJ12A58A7AA36	TRDVZJZ128F4295C1F
SOFJKCM12AB01837F3	TRQEZEP128F92F5D59
SOFJKCT12AC468934A	TRZDGRJ12903D0AB2C
SOFJKDK12AAF3B1E01	TRNTRTO128F92F0349
SOFJKDY12AF72AA475	TRIOUGL128F9310CA8
SOFJKDZ12A58A7D2F2	TRAVKQA128F933A709
SOFJKEJ12A81C21D7D	TRADKOG128F4235FB8
SOFJKEN12AB0181B13	TRVTGUB128F934B70E
SOFJKET12AB018A70F	TRXURWT12903CCBB2A
SOFJKFF12AB017FD42	TRHZQZZ128F93053D5
SOFJKFH12A8C142E74	TRNTDPV12903D05325
SOFJKKA12A6D4F7007	TRYFPYL128E0780FA7
SOFJKMD12A8C135B50	TRBLZHT128F4274EA9
SOFJKNC12AF72A2F52	TRTLSMS128F92F0570
SOFJKPS12AB017E892	TRLTVGG128F9316AC0
SOFJKSV12AB0182420	TRVBGRT128F1460C79
SOFJKTM12AF72AAC6B	TRYZGTF128F42809CD
SOFJKTU12A6D4F8F37	TRXZSVB128F1473B14
SOFJKUH12A6D4F6D17	TRSRMAI128EF35D586
SOFJKVM12A8C133ECC	TRTUIRP128F4270147
SOFJKYT12A8C143C76	TRVBRFW128F92F350B
SOFJLAM12A6D4FA3A4	TRONNIG12903CC5662
SOFJLDR12A6D4F58F0	TRHYFNJ128F145289B
SOFJLGZ12AB01811DF	TRCAKQY128F933DDD5
SOFJLHX12A6D4F6990	TRKAMEG128F14698B9
SOFJLJX12A8C1452CF	TRXHOOA128F92FA385
SOFJLME12A8C1326E9	TRDVCWT128F423F2DB
SOFJLMO12AB018393E	TRSPYPM128F932A9D8
SOFJLNB12A8C1395B6	TRQFYVA128F428AB76
SOFJLNH12A8C136B73	TRJMRHR128F4284A79
SOFJLOY12A8C13A05D	TRDJAHO128F428EFA8
SOFJLRP12A6701C8C7	TRIPVTW128E0791830
SOFJLSM12A8C13C33B	TRWFBVT128F429C6A6
SOFJLSX12A5891FA4A	TRDRNGF128F148DE76
SOFJLUA12AF72ABC83	TRLYJQO128F14525BD
SOFJLVM12A8C1357F9	TRTIRBW128F424D7FF
SOFJLVZ12AB017D0C6	TRGETSR128F93009A5
SOFJLWD12A58A78624	TRKOXGE128EF3571A3
SOFJLWI12A6D4FBBAA	TRPCBXW128F1495CDB
SOFJLYM12AAA15E968	TRGJJLF128F92D4276
SOFJMAJ12A8C13D4AF	TRDBLSN128F4299A00
SOFJMBQ12A8C137BE4	TRLZZCX128F427D453
SOFJMBV12A67AD9930	TREVHWG128EF3433D4
SOFJMDH12A8C133BED	TRJSKMT128F4264B2A
SOFJMEH12A6D4F5B8B	TRYDQFB128F1456C79
SOFJMFI12A58A7B26D	TRYIXUD128F4276645
SOFJMGI12AC46874D1	TRWZFDH12903CEC605
SOFJMIA12A58A7FB2E	TRLEIRI128F148091F
SOFJMIZ12A6D4F8F68	TRRVNYM128F1458835
SOFJMJN12A8C13F66D	TRXXCYT128F428AD17
SOFJMJT12AB017E9C6	TRLLCOC128F9315E4F
SOFJMKO12AAF3B3382	TRXDGQF128F92D7389
SOFJMMH12A58A7994D	TRPVXAG128F9310A0A
SOFJMQA12AB0184D6C	TRNGTEM128F933AA63
SOFJMQW12AF72AA3D7	TRPRTBS128F932BF02
SOFJMQX12AB01872F4	TRGATYF128F934AF83
SOFJMRI12A81C2142E	TRXHSLE128F423797D
SOFJMSA12A6701E130	TRKULBD128E0792849
SOFJMTK12AB0186B5C	TRVOYBH12903CD29E2
SOFJMTS12A6702010E	TRSCKPX128E078504F
SOFJMYJ12A6D4F8E59	TRCFZKY128F425ACFE
SOFJMZX12A8C1341B7	TRMZJXZ128F423D4CD
SOFJMZY12AB01805AC	TRGUGCJ128F932AED5
SOFJNBF12A8C136EB8	TRZYULR128F4256B89
SOFJNCJ12A58A7DBF2	TROLXCD128F92E06C2
SOFJNDA12A8C134892	TRNGCXZ128F426B1C1
SOFJNDP12A8C13AD02	TRRTAFF128F427271A
SOFJNDU12A8C13BEFB	TRQMZNE128F42791C8
SOFJNEQ12AB0187772	TRGRYLX128F933EBCB
SOFJNFH12A6D4F5E8A	TRHDAKC128F1459E4C
SOFJNFM12A8C13BF4E	TRYXVYS128F4287ADC
SOFJNFV12A6D4FAD2F	TRHMBPO128F14A5310
SOFJNFZ12AB0189D79	TRSQFDB128F934B0A7
SOFJNHJ12A8C13B8D9	TRQJYOL128F428E274
SOFJNIJ12AB0185F59	TRAUABF128F9351AE4
SOFJNJR12A8C13AE19	TRKUVMU128F4294097
SOFJNKJ12AB018286E	TRIVRHR128F92F7D3B
SOFJNLI12A8C13C916	TRKNYZW128F429054C
SOFJNMK12A6D4FB8BD	TRWFDCF128F14911E2
SOFJNMP12AB0186709	TRUOYDU12903CDCEEB
SOFJNMR12AB017E6B4	TRGIIJO12903C98B29
SOFJNMU12AB0185476	TRNBTTK128F9333B46
SOFJNNT12A8AE48028	TRYBTJA128F4231902
SOFJNOQ12A8159E8BE	TRRVSTX128F42299A3
SOFJNOW12AB0180E4A	TRLHGGI12903CDD583
SOFJNPT12A8C13C7AD	TRNPPGK128F4291A23
SOFJNPV12A8C1353CA	TRYSHJF128F426AB72
SOFJNQR12A6D4FAE92	TRAAQCK128F92E8C33
SOFJNQV12A58A78872	TRUVHIM128F931FE94
SOFJNQX12A58A7BC42	TRFOYSG128F428815D
SOFJNRP12A8C13BF1C	TRPNAKT128F427F2B2
SOFJNRR12AC4685D73	TRQNPSB12903D10B01
SOFJNRU12A8C1326D0	TRJBQUL128F423CB95
SOFJNSD12A8C13E40E	TRNXSIX128F428C339
SOFJNSR12A58A7A0C8	TROFHHD128F4259BD8
SOFJNVF12AC9070E60	TRSSIJB12903CFB879
SOFJNVL12AC468E664	TRLKSQN12903D0CCB2
SOFJNWH12AB017F161	TRJYUZB128F9329C2B
SOFJNWI12AB017EEA8	TRNTEAY128F92DE24C
SOFJNWS12AB018A604	TROXXQF12903CBA65E
SOFJNWY12AB01819F5	TREUHQJ128F932198B
SOFJNYP12A6BD53716	TRAPVWC128EF34B6B4
SOFJNYU12A6D4F8C9F	TRKFYGO128F147E91C
SOFJOAL12AB01811F4	TRUEAUH128F931F4BF
SOFJOCF12A6D4F72FD	TRMLUTG128F149DDCF
SOFJOEK12AB0180A5E	TRVTZLB128F9317B62
SOFJOFI12A8C146CFC	TRDRFXA128F92ED2B8
SOFJOFL12A58A78669	TRGXJIW128F1491151
SOFJOFZ12AB017EF1E	TRGWRAS128F9330441
SOFJOGO12AB0185E66	TRAJQPW12903CA22C1
SOFJOGZ12A6D4F3F38	TRTAPYA128F4294E25
SOFJOIR12AB017CEC2	TRITXSW128F93168C3
SOFJOJZ12A8AE48477	TROPEOW128F423DCE4
SOFJOKF12AB0181C92	TRLVWRN128F93369BC
SOFJOMV12AB017ECE5	TRRUQGN128F931ACED
SOFJOMW12AB01828FB	TRVUTPM128F9312874
SOFJONF12A8AE46862	TRUUBWT128F4238371
SOFJOOB12A8C134405	TRAPQBB128F424A8B2
SOFJOOC12A6D4FD90D	TRZOTDM128F4222B36
SOFJOSD12AB018322B	TROZRQS128F930A97B
SOFJOSL12AB0181CA8	TRFLNKX128F9339775
SOFJOSM12A8C143B65	TRUNIOZ12903CFE378
SOFJOUM12A8C1334EC	TRNZWZH128F4269921
SOFJOUR12AB0186662	TRMHKBM128F9344BF9
SOFJOVA12A81C23B2A	TROMNQP128F4239E98
SOFJOVK12B0B80BD62	TRMJRVT128F1482521
SOFJOVY12A8AE45ABB	TRBEAMO128F425B75F
SOFJPAX12A6D4FA755	TRRXEBE128F9312292
SOFJPCE12A58A7CE90	TROGBID128F426377E
SOFJPFL12A8C14423A	TRLEOHQ128F92E767B
SOFJPFY12A8C138506	TRPLPWI128F4271853
SOFJPGF12AB017CF87	TRPQJQW128F930D430
SOFJPGS12AB0185581	TRPTYPS128F9318F78
SOFJPHJ12A58A790BF	TRUMYOD128F4254F33
SOFJPHQ12A6D4FBA32	TRAADHC128F4227F6B
SOFJPIH12AB0185EF7	TRMJGKK128F933B56E
SOFJPIO12A6D4F9501	TRVRFAF128F146A194
SOFJPKS12A6D4FC9B2	TRCQTSD128F421A34D
SOFJPMN12A81C22CF0	TRBRSOF128F422AD81
SOFJPNB12A58A7B580	TREFTER128F932651A
SOFJPQR12AB017DBB5	TRYTBSE128F93161B6
SOFJPTF12AF72A573C	TRZCMGU12903CED276
SOFJPTO12AB0183990	TRPQRTT128F93284CD
SOFJPUG12A6D4FCE49	TRBIQEH128F424A749
SOFJPXP12A81C20F18	TRHDVMA12903CF79A2
SOFJPXX12A58A7B264	TRIVSTV12903CAE6BE
SOFJPZL12AB01846B9	TRHCPTU128F93233FC
SOFJPZR12A58A7B6B5	TROICUW128F931B419
SOFJQAP12A8C13C80B	TRYWOTN128F42785F0
SOFJQBH12A8C143A0A	TRLGUVJ128F92C68C5
SOFJQBN12A6D4FD264	TRYPNYJ128F421A983
SOFJQCC12AAF3B45AA	TRDNSSJ128F92E6EEA
SOFJQCM12AC3DF4AEE	TRBBQIF12903CDF326
SOFJQCS12AF729D04F	TROEMYL128F423226F
SOFJQEB12AB0187826	TRZUSER12903CEA86B
SOFJQEB12AF729F843	TRVMJKW128F426A14A
SOFJQFK12AC9074FD2	TRNDJWS12903CEFBDB
SOFJQFX12A8C1300BA	TRBFGMQ12903CF8221
SOFJQGQ12A6D4F7710	TRJOGPA128F145BA58
SOFJQKG12AB01898AF	TRDQBXI128F93328A5
SOFJQLL12AB0186EC9	TRIUDBL12903CB027D
SOFJQOA12A8C135050	TRRYQYE128F4250B38
SOFJQOI12A67021CF3	TRDZMLT128E0791E88
SOFJQQA12A8C13E0BA	TRCWDJO128F42ADFBA
SOFJQQX12A58A77A9A	TRGMDCC128F9300D4A
SOFJQRP12A6D4F7983	TRFDENP128F1483C68
SOFJQSE12A8C13B535	TRBHJML128F426BA20
SOFJQST12AB01825AC	TRQOWMU128F92FAEBE
SOFJQSX12AB0183F25	TRRYLHO12903CDF999
SOFJQTL12A6D4FB24C	TRTXMAN128F422970F
SOFJQUI12AB0182D52	TRKFFAP128F9343C1F
SOFJQWR12A8C1366E6	TRPHJON128F426CE09
SOFJQWZ12AF72A6BC9	TRJXYKO128F145C6A7
SOFJQZC12A58A7E452	TRMQTYC128F42460E7
SOFJQZI12A8C140DF7	TRLANWH12903CD5BFC
SOFJRDH12A58A7C4C2	TRSAQWC128F92F218F
SOFJRFB12A8C145A68	TRDXRXK128F932385A
SOFJRGM12A6D4F845C	TRZDBKQ128F1452E75
SOFJRJK12A6D4FAAC9	TRGJIEY128F4243058
SOFJRKI12A8C132163	TRXGFZV128F423685D
SOFJRKI12A8C1442E1	TRBGLRA128F92E5257
SOFJRNM12A8C13DD07	TRMVPHU128F4282655
SOFJROC12A8C1359F6	TROQTVC128F425F7FA
SOFJROI12A8C135D1E	TRABVOJ128F4250AAA
SOFJRPI12A8C13EF36	TRFTIDY128F931F7E0
SOFJRPI12AB0184B37	TRAMKCL12903CB9F19
SOFJRQH12A8C137197	TRDGODC128F425DC38
SOFJRQP12A81C23705	TRILLAM128F42305E1
SOFJRRD12A58A7A917	TRMEQJY128F424BD6B
SOFJRRU12A8C132F15	TRQHVPD128F426581E
SOFJRTQ12A8C1374EB	TRULSUT128F425E4EA
SOFJRVD12A8C135412	TRSQXAX128F4252C5B
SOFJRWO12A8C1359DC	TRVSENZ12903CFEF7A
SOFJRWZ12AB0183B9C	TRVXCXB128F930AB89
SOFJRXG12A6D4FA324	TRIOSGN128F1490379
SOFJRXN12A67AD72FE	TRNQRWS128EF33FE39
SOFJSAC12AB0189035	TRHOTDV12903CDEAC4
SOFJSAQ12A6D4F87A6	TRCNLUR128F1475D69
SOFJSBJ12A6D4F9753	TRRHGVU128F147C752
SOFJSBL12A8C139012	TRVECIU128F4262BC2
SOFJSFJ12A8C1377D6	TRZYFFK128F425EAF1
SOFJSGN12A8C142FF7	TRHKOJY128F9324A14
SOFJSGY12AAF3B222C	TRFEZCT128F422DA72
SOFJSHF12A8C13C85E	TRJCXLR128F429EF69
SOFJSIA12A6D4FA2E6	TRYPWUX128F14758D3
SOFJSIH12A8C134D20	TRMEUJS128F42368E5
SOFJSKG12A6D4F64BD	TRVEVQP128EF354D2E
SOFJSLD12AB018220F	TRKNORO128F93528ED
SOFJSMI12A8C13E114	TRPWOBF128F427B0BD
SOFJSOY12A8C132C2F	TRLKEEG128F4252100
SOFJSRL12A8C1397A7	TRJSGRB128F4275B25
SOFJSSP12AB018F3EB	TRDGYYO12903CE016F
SOFJSTL12A8C138078	TRQXKDC128F933D70C
SOFJSUV12A6D4F9F9A	TRFEPIO128F4213BCF
SOFJSVI12A81C1FAAD	TRLCPFY128F42513E4
SOFJSVX12A8C142D89	TRMIFBY128F428B580
SOFJSWM12A8C142BFE	TRUVNTY128F92D3D9C
SOFJSWO12A6D4FCCEE	TRGJRQZ128F42261A3
SOFJSWT12A6D4FD804	TRUZUIY128F422DDC5
SOFJSZA12AB018BC83	TRGLTLL12903CDCF7E
SOFJSZH12A6D4F5ED3	TRXTAPD128F145A606
SOFJTCO12AB0181F8F	TRWAGAC128F9336BC2
SOFJTFS12A6BD4E1EF	TRCNVFT128F42BA301
SOFJTIP12A8C138F44	TRUIZUM128F4281964
SOFJTIS12AB0184236	TRJQSXM128F932A05B
SOFJTKG12A8C13F70F	TRZYTQV128F92CAB63
SOFJTKS12A58A797CF	TRVKOJW128F93126DD
SOFJTKV12AB01867CD	TRIJMWB128F933D24B
SOFJTLW12A6D4F892B	TRECBWG128F14590A7
SOFJTMB12A58A7BBEA	TRMYHMI128F4251B2E
SOFJTMP12A58A7F331	TRJVUFR128F427EA6A
SOFJTRG12A8C138B24	TRMENOZ128F425103E
SOFJTWF12A8C1400AD	TRRXBEY128F428A2BE
SOFJTWM12A67AE1509	TRKCHZF128EF348D18
SOFJTXS12A6D4F83C9	TROBVAL128F93028CB
SOFJTXW12A8AE46A2E	TRZDWMB128F4241490
SOFJTZI12AF72A86F6	TRBLWWT128F932569A
SOFJUDD12A8C135552	TRNRTKF128F424F5D6
SOFJUEK12AB018EA3E	TRCYIKG12903CDE2A8
SOFJUEO12A8AE46A31	TRDJWCQ128F423B580
SOFJUEZ12A8C1350E1	TRJFFVQ128F427A7B4
SOFJUGT12AB0184299	TRUEDVJ128F933DD9D
SOFJUIZ12A8AE47610	TRFDRQB128F4238D3D
SOFJULQ12A58A7AD8A	TRMBJKJ128F930A971
SOFJUNO12A8C143640	TRGKMYJ128F92E2466
SOFJUOH12A58A7895D	TRYWKVO128F4233436
SOFJUOS12A6D4F83CB	TRGPNGS128F9303766
SOFJUPB12A6D4FAFCB	TRGQWEO128F14ACF38
SOFJUQG12A8C138D25	TRQYYLI128F4259E5D
SOFJUSE12A6D4F535B	TRKTSXE128EF35787F
SOFJUUE12A81C2342B	TRCTIGX12903CCD586
SOFJUXS12A8C134EDD	TRSHUIP128F4279A8C
SOFJVAC12A6701F997	TRPTWLU128E078584F
SOFJVBJ12A6D4FA8F1	TREWWQV128F1496C4C
SOFJVDI12AAF3B2B0C	TRDWZUQ128F930640A
SOFJVEI12A8C139C8E	TRJSROT128F427837D
SOFJVEI12AB0189747	TRNYJKH12903CDFB00
SOFJVHY12A6D4F91E7	TRFIGUN128F1486D88
SOFJVKK12A6701D96E	TRGDQBT128E07846A4
SOFJVKY12AC95F02BC	TRVIHKX12903CFF823
SOFJVOE12A8C13A468	TRDDAZU128F42A5D8A
SOFJVOE12AC468AE4D	TRDDVCE128F427D664
SOFJVOM12AB0181DCA	TRVWMTL128F930FAF6
SOFJVPG12A8C132E64	TRUYFVF128F42536C5
SOFJVQG12A8AE45750	TRZREIT128F93552B1
SOFJVTD12A6D4F7747	TRVHIGB128F146BC55
SOFJVTR12A8C137046	TRZBSLP128F42579A6
SOFJVVD12A8C13CE54	TRZFFDH128F4276BAC
SOFJVVG12AB0181F5A	TRKMLST12903CFCCD9
SOFJVVM12AB0182437	TRYKSJZ128F932E6BB
SOFJVWQ12AB017ED01	TRQMQDT128F9317815
SOFJVXZ12A8C13482B	TRPOZPE128F423E7FE
SOFJVYU12A67FFB3A6	TRRDLCQ128EF346067
SOFJVZB12AB017D033	TRARBNI12903CF7972
SOFJWAM12A8C13FF7F	TRJWDUZ128F42A52ED
SOFJWBY12AAF3B2D5B	TRUMQSA128F931D475
SOFJWCA12A8C13A89A	TRFXRMV128F4257F18
SOFJWER12A6D4FD7DF	TRPMSFM128F4225087
SOFJWFI12AC3DF9930	TRMYIEF12903CEC798
SOFJWGZ12AB018493B	TRWOWRU128F9328E57
SOFJWHM12AB0185504	TRVSYKD128F930758C
SOFJWJY12AB0183684	TRHOETX128F930D56F
SOFJWKK12AB01826CD	TRABXSA128F932BD6F
SOFJWKR12A8C13A681	TRGAQIK128F9338DE1
SOFJWLK12AB018390C	TRBURCO12903CA71D4
SOFJWPF12A6D4F570E	TRCGUBW128F933828A
SOFJWTN12A8C1369DA	TRIOOPQ128F932E36F
SOFJWTX12A6D4F6ED2	TRMXLPB128F145E68B
SOFJWTY12A6D4F7933	TRRORKU128F1458F7F
SOFJWUG12A8C1359D6	TROLIFH128F425D23A
SOFJWUL12A8C13E834	TRHHHHD128F4289803
SOFJWWF12A8C142012	TRZDOPI128F92DB614
SOFJWXA12AB01870C5	TRJCPUX128F93438DD
SOFJWXQ12A8C136F98	TRNMBXN128F9341485
SOFJWXW12A8C132842	TRDVXNV12903CEF22A
SOFJWYV12A6D4FBEE7	TRPPIWR128F422B117
SOFJWZP12A6D4F8557	TRGNGIE128F146DCCB
SOFJXGZ12A6D4FA00A	TRQAWUT128F148AA09
SOFJXHI12AB01869ED	TRNVXUZ128F93097A8
SOFJXHY12A8C13FCCF	TRULMJK12903D0F61C
SOFJXIJ12A58A7E948	TRVKXEP128F92F9029
SOFJXKY12AB0188796	TRSIFMJ128F932854E
SOFJXMM12AB01851AD	TRUVIYP12903CC2AC9
SOFJXMQ12A8C13AE5D	TRBZYEL128F428C24C
SOFJXNW12A6D4F743B	TRWRTHM128F146E99F
SOFJXOO12A8C13E729	TRRDLRV128F428A785
SOFJXOP12AC468C6C3	TRWWJXI12903CF370D
SOFJXQF12AB0189081	TRJXJWH12903CA69B4
SOFJXQR12A6D4FC677	TRUHTEO128F14AE8D8
SOFJXRH12A8C13A26B	TRZYBJI128F4274B84
SOFJXRK12A6D4F48B4	TRHAINN128F1464925
SOFJXWL12A8C1416D8	TRSAIAS128F9303E8A
SOFJXYA12AB0181695	TRZKGWM128F92E6D37
SOFJXYC12A81C23431	TRRJRTL128F423855B
SOFJXYC12A8C13B214	TRRLZVN128F427FFB4
SOFJXYL12A6D4FD8B2
SOFJYAF12AB017D426	TRLGRCW128F9303CC6
SOFJYAV12A6D4FC61E	TRGHFQB128F14A3A80
SOFJYBB12A8C1425A1	TREXUJL12903CECC2F
SOFJYCD12A8C144801	TRVBMQV128F92CBE7C
SOFJYDZ12AB018376D	TRZZJBT128F9360F7D
SOFJYFA12A8C134DA2	TRQMKLO128F42424A9
SOFJYFV12A58A7EF60	TRMJFGF128F424ED36
SOFJYGA12A6D4F8EC1	TRNSWTA128F148BCCE
SOFJYGM12A8C13D45F	TRUEBOS128F4294959
SOFJYHI12A8C14201C	TRZWXCQ128F92EF83A
SOFJYHV12AB0183242	TRJTBKL128F930CF64
SOFJYJP12A8C13DE2C	TRYJYRL128F930F509
SOFJYKL12AB0185491	TRTMRIE128F934C038
SOFJYLC12A8C142DFB	TRZODJH128F92F25E0
SOFJYLW12A8C1405B6	TRKWXXX128F428B39B
SOFJYOR12A6D4F911E	TRLORCR128F1480C24
SOFJYPZ12A8C13A188	TRQQDMZ128F42684C8
SOFJYQD12AB0185EF0	TRWKJDA128F9339A6D
SOFJYQO12A6701D84A	TRUBRGZ128E0793CD3
SOFJYSC12A6D4FEBC6	TRBRPSN128F424BE71
SOFJYSD12A6701FD47	TRDKIXO128F426F4E2
SOFJYSF12AB0188BB5	TRYLIEL128F931A5B4
SOFJYUE12AB0185A84	TRNUNBI128F9356BBA
SOFJYUF12AB0182402	TRZSRMM128F934202A
SOFJYUG12A8AE48713	TRFNMTL128F4239528
SOFJYXS12AC3DFB4CF	TRSSVRP12903CEBC4C
SOFJYYH12A6310F0E0	TROHIYZ128E0780C29
SOFJYYK12A8C13BAA3	TRQQXIZ128F42686A3
SOFJYYR12A6D4F913D	TRNFLYK128F1472988
SOFJZAB12A58A77B54	TRBRBDC12903CF3CC3
SOFJZBN12A8AE46FA4	TRFEEHO128F425A039
SOFJZET12A58A7B595	TRJQAAW128F9319DED
SOFJZHO12A6D22719C	TRIFPMQ128EF3500B6
SOFJZIK12A58A7E204	TRZDJDO128F4273E37
SOFJZJY12A8C1437DC	TRMPEEV128F92E837B
SOFJZKH12A6D4FA230	TRYQVQS128F14A8740
SOFJZLO12A8C1409D6	TRMUVFS128F42B63AD
SOFJZNE12A8AE45C1F	TRKYXSW12903CF459E
SOFJZPQ12AB01840BF	TRDMXWD12903CB9674
SOFJZQL12A6D4F9186	TRZVDDY128F42AD09A
